Date,Open,High,Low,Close,Adj Close,Volume
2014-04-23,87.279999,87.279999,86.629997,86.809998,65.950912,188500
2014-04-24,86.900002,87.239998,86.739998,86.839996,65.973709,84300
2014-04-25,86.519997,87.150002,86.519997,87.029999,66.118065,117900
2014-04-28,87.389999,87.639999,87.199997,87.620003,66.566307,170800
2014-04-29,87.959999,88.580002,87.940002,88.239998,67.037323,102000
2014-04-30,88.139999,89.519997,88.139999,89.250000,67.804634,143000
2014-05-01,89.029999,89.150002,88.230003,88.839996,67.493156,169900
2014-05-02,88.760002,89.250000,88.599998,88.839996,67.493156,101700
2014-05-05,88.709999,89.279999,88.589996,88.900002,67.538719,121700
2014-05-06,89.360001,89.500000,88.900002,89.500000,67.994553,74300
2014-05-07,89.260002,89.599998,89.050003,89.389999,67.910995,90800
2014-05-08,89.540001,89.919998,89.489998,89.849998,68.260483,111800
2014-05-09,89.339996,89.379997,88.650002,88.900002,67.538719,119700
2014-05-12,89.180000,89.309998,88.690002,88.949997,67.576714,123300
2014-05-13,88.879997,89.199997,88.760002,89.099998,67.690666,86300
2014-05-14,89.150002,89.379997,88.930000,89.300003,67.842628,78400
2014-05-15,89.269997,89.480003,88.870003,89.370003,67.895790,145700
2014-05-16,89.040001,89.160004,88.639999,88.889999,67.531136,138700
2014-05-19,88.809998,89.000000,88.639999,88.900002,67.538719,72000
2014-05-20,88.500000,88.919998,88.250000,88.500000,67.234856,141200
2014-05-21,88.500000,89.360001,88.379997,89.209999,67.774246,92900
2014-05-22,89.370003,90.709999,89.250000,90.269997,68.579552,195700
2014-05-23,90.540001,91.050003,90.540001,90.879997,69.042969,186500
2014-05-27,91.470001,91.559998,90.709999,91.019997,69.149315,95300
2014-05-28,91.070000,91.830002,91.050003,91.099998,69.210083,152400
2014-05-29,90.750000,91.370003,89.419998,90.260002,68.571938,312900
2014-05-30,89.790001,89.839996,88.279999,88.339996,67.113297,363400
2014-06-02,88.290001,88.459999,87.839996,88.209999,67.014526,286200
2014-06-03,88.050003,88.430000,87.779999,88.199997,67.006950,217700
2014-06-04,88.050003,88.639999,87.639999,88.440002,67.189278,173800
2014-06-05,88.620003,88.680000,87.989998,88.349998,67.120888,161800
2014-06-06,88.540001,88.860001,88.320000,88.730003,67.409592,135500
2014-06-09,89.120003,89.230003,88.580002,88.690002,67.379196,201000
2014-06-10,88.750000,88.940002,88.570000,88.760002,67.432373,119400
2014-06-11,88.860001,89.150002,88.599998,89.000000,67.614708,129600
2014-06-12,88.800003,89.190002,88.709999,89.180000,67.751450,99200
2014-06-13,89.129997,89.680000,89.110001,89.459999,67.964172,106100
2014-06-16,89.379997,90.169998,89.379997,89.879997,68.283249,153800
2014-06-17,89.650002,90.080002,89.550003,89.879997,68.283249,112400
2014-06-18,89.849998,90.120003,89.519997,90.089996,68.442787,229400
2014-06-19,90.160004,90.300003,89.870003,90.190002,68.518776,141400
2014-06-20,90.910004,90.910004,90.120003,90.739998,68.936600,211700
2014-06-23,90.750000,91.180000,90.500000,91.120003,69.225304,152200
2014-06-24,91.110001,91.400002,90.849998,90.919998,69.073357,216400
2014-06-25,89.940002,90.120003,89.389999,89.519997,68.766083,177600
2014-06-26,89.699997,89.980003,89.209999,89.860001,69.027283,126100
2014-06-27,89.949997,91.029999,89.879997,91.010002,69.910652,152300
2014-06-30,90.870003,91.500000,90.599998,90.980003,69.887619,213500
2014-07-01,91.279999,91.699997,90.980003,91.660004,70.409958,76000
2014-07-02,91.459999,91.699997,91.199997,91.320000,70.148788,131700
2014-07-03,91.279999,92.040001,91.230003,91.930000,70.617355,93900
2014-07-07,92.129997,92.230003,91.190002,91.550003,70.325478,171900
2014-07-08,91.459999,91.629997,90.930000,91.470001,70.264008,124000
2014-07-09,91.550003,92.120003,91.180000,91.879997,70.578964,123800
2014-07-10,91.379997,91.940002,91.339996,91.879997,70.578964,117900
2014-07-11,91.589996,91.589996,90.910004,90.989998,69.895279,97800
2014-07-14,91.139999,91.730003,91.139999,91.489998,70.279366,110100
2014-07-15,91.449997,91.650002,91.180000,91.360001,70.179512,82200
2014-07-16,91.379997,91.809998,91.220001,91.739998,70.471420,155200
2014-07-17,91.559998,91.680000,91.309998,91.500000,70.287079,95900
2014-07-18,91.529999,91.849998,91.290001,91.809998,70.525177,123000
2014-07-21,91.699997,92.070000,91.489998,91.910004,70.602020,122000
2014-07-22,91.949997,92.959999,91.849998,92.470001,71.032181,185700
2014-07-23,92.760002,93.199997,92.489998,93.110001,71.523811,146900
2014-07-24,93.050003,93.290001,92.699997,93.239998,71.623650,126300
